iso3,country_x,income_level,inequality_level,gnipc,gini,gnipc_year,gini_year,region,subregion,country_y,iso3,indicator,disaggregation,gender,source,unit,year,value,footnote
ABW,Aruba,high,,29460.0,,2021-01-01,,,,,,,,,,,,,
AFG,Afghanistan,low,low,390.0,29.4,2021-01-01,2008-01-01,,,,,,,,,,,,
AGO,Angola,low,high,1900.0,51.3,2022-01-01,2018-01-01,,,,,,,,,,,,
ALB,Albania,low,low,6770.0,29.4,2022-01-01,2020-01-01,,,,,,,,,,,,
AND,Andorra,high,,46530.0,,2019-01-01,,,,,,,,,,,,,
ARE,United Arab Emirates,high,low,48950.0,26.0,2022-01-01,2018-01-01,,,,,,,,,,,,
ARG,Argentina,high,high,11620.0,42.0,2022-01-01,2021-01-01,,,,,,,,,,,,
ARM,Armenia,low,low,5960.0,27.9,2022-01-01,2021-01-01,,,,,,,,,,,,
ATG,Antigua and Barbuda,high,,18280.0,,2022-01-01,,,,,,,,,,,,,
AUS,Australia,high,low,60430.0,34.3,2022-01-01,2018-01-01,,,,,,,,,,,,
AUT,Austria,high,low,56140.0,29.8,2022-01-01,2020-01-01,,,,,,,,,,,,
AZE,Azerbaijan,low,low,5630.0,33.7,2022-01-01,2008-01-01,,,,,,,,,,,,
BDI,Burundi,low,high,240.0,38.6,2022-01-01,2013-01-01,,,,,,,,,,,,
BEL,Belgium,high,low,48700.0,26.0,2022-01-01,2020-01-01,,,,,,,,,,,,
BEN,Benin,low,high,1400.0,37.8,2022-01-01,2018-01-01,,,,,,,,,,,,
BFA,Burkina Faso,low,high,840.0,47.3,2022-01-01,2018-01-01,,,,,,,,,,,,
BGD,Bangladesh,low,low,2820.0,32.4,2022-01-01,2016-01-01,,,,,,,,,,,,
BGR,Bulgaria,high,high,13250.0,40.5,2022-01-01,2020-01-01,,,,,,,,,,,,
BHR,Bahrain,high,,27180.0,,2022-01-01,,,,,,,,,,,,,
BHS,"Bahamas, The",high,,31530.0,,2022-01-01,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,high,low,7660.0,33.0,2022-01-01,2011-01-01,,,,,,,,,,,,
BLR,Belarus,high,low,7240.0,24.4,2022-01-01,2020-01-01,,,,,,,,,,,,
BLZ,Belize,low,,6800.0,,2022-01-01,,,,,,,,,,,,,
BMU,Bermuda,high,,125240.0,,2022-01-01,,,,,,,,,,,,,
BOL,Bolivia,low,high,3450.0,40.9,2022-01-01,2021-01-01,,,,,,,,,,,,
BRA,Brazil,high,high,8140.0,52.9,2022-01-01,2021-01-01,,,,,,,,,,,,
BRB,Barbados,high,,19350.0,,2022-01-01,,,,,,,,,,,,,
BRN,Brunei Darussalam,high,,31410.0,,2022-01-01,,,,,,,,,,,,,
BTN,Bhutan,low,high,3040.0,37.4,2021-01-01,2017-01-01,,,,,,,,,,,,
BWA,Botswana,high,high,7350.0,53.3,2022-01-01,2015-01-01,,,,,,,,,,,,
CAF,Central African Republic,low,high,480.0,56.2,2022-01-01,2008-01-01,,,,,,,,,,,,
CAN,Canada,high,low,52960.0,32.5,2022-01-01,2018-01-01,,,,,,,,,,,,
CHE,Switzerland,high,low,89450.0,33.1,2022-01-01,2018-01-01,,,,,,,,,,,,
CHL,Chile,high,high,15360.0,44.9,2022-01-01,2020-01-01,,,,,,,,,,,,
CHN,China,high,high,12850.0,38.2,2022-01-01,2019-01-01,,,,,,,,,,,,
CIV,Cote d'Ivoire,low,high,2620.0,37.2,2022-01-01,2018-01-01,,,,,,,,,,,,
CMR,Cameroon,low,high,1660.0,46.6,2022-01-01,2014-01-01,,,,,,,,,,,,
COD,"Congo, Dem. Rep.",low,high,590.0,42.1,2022-01-01,2012-01-01,,,,,,,,,,,,
COG,"Congo, Rep.",low,high,2060.0,48.9,2022-01-01,2011-01-01,,,,,,,,,,,,
COL,Colombia,low,high,6510.0,51.5,2022-01-01,2021-01-01,,,,,,,,,,,,
COM,Comoros,low,high,1610.0,45.3,2022-01-01,2014-01-01,,,,,,,,,,,,
CPV,Cabo Verde,low,high,4140.0,42.4,2022-01-01,2015-01-01,,,,,,,,,,,,
CRI,Costa Rica,high,high,12670.0,48.7,2022-01-01,2021-01-01,,,,,,,,,,,,
CUB,Cuba,high,,8920.0,,2019-01-01,,,,,,,,,,,,,
CUW,Curacao,high,,18430.0,,2021-01-01,,,,,,,,,,,,,
CYM,Cayman Islands,high,,65190.0,,2021-01-01,,,,,,,,,,,,,
CYP,Cyprus,high,low,30540.0,31.7,2022-01-01,2020-01-01,,,,,,,,,,,,
CZE,Czechia,high,low,26590.0,26.2,2022-01-01,2020-01-01,,,,,,,,,,,,
DEU,Germany,high,low,53390.0,31.7,2022-01-01,2019-01-01,,,,,,,,,,,,
DJI,Djibouti,low,high,3180.0,41.6,2022-01-01,2017-01-01,,,,,,,,,,,,
DMA,Dominica,high,,8460.0,,2022-01-01,,,,,,,,,,,,,
DNK,Denmark,high,low,73200.0,27.5,2022-01-01,2020-01-01,,,,,,,,,,,,
DOM,Dominican Republic,high,high,9050.0,38.5,2022-01-01,2021-01-01,,,,,,,,,,,,
DZA,Algeria,low,low,3900.0,27.6,2022-01-01,2011-01-01,,,,,,,,,,,,
ECU,Ecuador,low,high,6310.0,45.8,2022-01-01,2021-01-01,,,,,,,,,,,,
EGY,"Egypt, Arab Rep.",low,low,4100.0,31.9,2022-01-01,2019-01-01,,,,,,,,,,,,
ESP,Spain,high,low,31680.0,34.9,2022-01-01,2020-01-01,,,,,,,,,,,,
EST,Estonia,high,low,27640.0,30.7,2022-01-01,2020-01-01,,,,,,,,,,,,
ETH,Ethiopia,low,low,1020.0,35.0,2022-01-01,2015-01-01,,,,,,,,,,,,
FIN,Finland,high,low,54360.0,27.1,2022-01-01,2020-01-01,,,,,,,,,,,,
FJI,Fiji,low,low,5270.0,30.7,2022-01-01,2019-01-01,,,,,,,,,,,,
FRA,France,high,low,45860.0,30.7,2022-01-01,2020-01-01,,,,,,,,,,,,
FRO,Faroe Islands,high,low,69560.0,22.7,2021-01-01,2013-01-01,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",low,high,4130.0,40.1,2022-01-01,2013-01-01,,,,,,,,,,,,
GAB,Gabon,high,high,7540.0,38.0,2022-01-01,2017-01-01,,,,,,,,,,,,
GBR,United Kingdom,high,low,48890.0,32.6,2022-01-01,2020-01-01,,,,,,,,,,,,
GEO,Georgia,low,low,5620.0,34.2,2022-01-01,2021-01-01,,,,,,,,,,,,
GHA,Ghana,low,high,2350.0,43.5,2022-01-01,2016-01-01,,,,,,,,,,,,
GIN,Guinea,low,low,1180.0,29.6,2022-01-01,2018-01-01,,,,,,,,,,,,
GMB,"Gambia, The",low,high,810.0,38.8,2022-01-01,2020-01-01,,,,,,,,,,,,
GNB,Guinea-Bissau,low,low,820.0,34.8,2022-01-01,2018-01-01,,,,,,,,,,,,
GNQ,Equatorial Guinea,low,,5320.0,,2022-01-01,,,,,,,,,,,,,
GRC,Greece,high,low,21740.0,33.6,2022-01-01,2020-01-01,,,,,,,,,,,,
GRD,Grenada,high,,9340.0,,2022-01-01,,,,,,,,,,,,,
GRL,Greenland,high,low,34800.0,33.9,2007-01-01,2015-01-01,,,,,,,,,,,,
GTM,Guatemala,low,high,5350.0,48.3,2022-01-01,2014-01-01,,,,,,,,,,,,
GUY,Guyana,high,high,15050.0,44.6,2022-01-01,2007-01-01,,,,,,,,,,,,
HKG,"Hong Kong SAR, China",high,high,54370.0,53.9,2022-01-01,2016-01-01,,,,,,,,,,,,
HND,Honduras,low,high,2740.0,48.2,2022-01-01,2019-01-01,,,,,,,,,,,,
HRV,Croatia,high,low,19470.0,29.5,2022-01-01,2020-01-01,,,,,,,,,,,,
HTI,Haiti,low,high,1610.0,41.1,2022-01-01,2012-01-01,,,,,,,,,,,,
HUN,Hungary,high,low,19010.0,29.7,2022-01-01,2020-01-01,,,,,,,,,,,,
IDN,Indonesia,low,high,4580.0,37.9,2022-01-01,2022-01-01,,,,,,,,,,,,
IMN,Isle of Man,high,,79300.0,,2020-01-01,,,,,,,,,,,,,
IND,India,low,low,2380.0,35.7,2022-01-01,2019-01-01,,,,,,,,,,,,
IRL,Ireland,high,low,81070.0,29.2,2022-01-01,2020-01-01,,,,,,,,,,,,
IRN,"Iran, Islamic Rep.",low,high,3900.0,40.9,2022-01-01,2019-01-01,,,,,,,,,,,,
IRQ,Iraq,low,low,5270.0,29.5,2022-01-01,2012-01-01,,,,,,,,,,,,
ISL,Iceland,high,low,68220.0,26.1,2022-01-01,2017-01-01,,,,,,,,,,,,
ISR,Israel,high,high,54650.0,38.6,2022-01-01,2018-01-01,,,,,,,,,,,,
ITA,Italy,high,low,37700.0,35.2,2022-01-01,2020-01-01,,,,,,,,,,,,
JAM,Jamaica,low,low,5670.0,35.0,2022-01-01,2016-01-01,,,,,,,,,,,,
JOR,Jordan,low,low,4260.0,33.7,2022-01-01,2010-01-01,,,,,,,,,,,,
JPN,Japan,high,low,42440.0,32.9,2022-01-01,2013-01-01,,,,,,,,,,,,
KAZ,Kazakhstan,high,low,9470.0,27.8,2022-01-01,2018-01-01,,,,,,,,,,,,
KEN,Kenya,low,high,2170.0,40.8,2022-01-01,2015-01-01,,,,,,,,,,,,
KGZ,Kyrgyz Republic,low,low,1410.0,29.0,2022-01-01,2020-01-01,,,,,,,,,,,,
KHM,Cambodia,low,high,1700.0,37.9,2022-01-01,2008-01-01,,,,,,,,,,,,
KIR,Kiribati,low,low,3280.0,27.8,2022-01-01,2019-01-01,,,,,,,,,,,,
KNA,St. Kitts and Nevis,high,,19730.0,,2022-01-01,,,,,,,,,,,,,
KOR,"Korea, Rep.",high,low,35990.0,31.4,2022-01-01,2016-01-01,,,,,,,,,,,,
KWT,Kuwait,high,,39570.0,,2022-01-01,,,,,,,,,,,,,
LAO,Lao PDR,low,high,2360.0,38.8,2022-01-01,2018-01-01,,,,,,,,,,,,
LBN,Lebanon,low,low,4970.0,31.8,2021-01-01,2011-01-01,,,,,,,,,,,,
LBR,Liberia,low,low,680.0,35.3,2022-01-01,2016-01-01,,,,,,,,,,,,
LBY,Libya,high,,7260.0,,2022-01-01,,,,,,,,,,,,,
LCA,St. Lucia,high,high,11160.0,51.2,2022-01-01,2016-01-01,,,,,,,,,,,,
LIE,Liechtenstein,high,,116600.0,,2009-01-01,,,,,,,,,,,,,
LKA,Sri Lanka,low,high,3610.0,37.7,2022-01-01,2019-01-01,,,,,,,,,,,,
LSO,Lesotho,low,high,1260.0,44.9,2022-01-01,2017-01-01,,,,,,,,,,,,
LTU,Lithuania,high,low,23690.0,36.0,2022-01-01,2020-01-01,,,,,,,,,,,,
LUX,Luxembourg,high,low,91200.0,33.4,2022-01-01,2020-01-01,,,,,,,,,,,,
LVA,Latvia,high,low,21500.0,35.7,2022-01-01,2020-01-01,,,,,,,,,,,,
MAC,"Macao SAR, China",high,low,44980.0,35.0,2021-01-01,2013-01-01,,,,,,,,,,,,
MAR,Morocco,low,high,3710.0,39.5,2022-01-01,2013-01-01,,,,,,,,,,,,
MDA,Moldova,low,low,5340.0,25.7,2022-01-01,2021-01-01,,,,,,,,,,,,
MDG,Madagascar,low,high,510.0,42.6,2022-01-01,2012-01-01,,,,,,,,,,,,
MDV,Maldives,high,low,11030.0,29.3,2022-01-01,2019-01-01,,,,,,,,,,,,
MEX,Mexico,high,high,10410.0,45.4,2022-01-01,2020-01-01,,,,,,,,,,,,
MHL,Marshall Islands,high,low,7920.0,35.5,2022-01-01,2019-01-01,,,,,,,,,,,,
MKD,North Macedonia,low,low,6640.0,33.5,2022-01-01,2019-01-01,,,,,,,,,,,,
MLI,Mali,low,high,850.0,36.1,2022-01-01,2018-01-01,,,,,,,,,,,,
MLT,Malta,high,low,33550.0,31.4,2022-01-01,2020-01-01,,,,,,,,,,,,
MMR,Myanmar,low,low,1210.0,30.7,2022-01-01,2017-01-01,,,,,,,,,,,,
MNE,Montenegro,high,high,10400.0,36.8,2022-01-01,2018-01-01,,,,,,,,,,,,
MNG,Mongolia,low,low,4210.0,32.7,2022-01-01,2018-01-01,,,,,,,,,,,,
MOZ,Mozambique,low,high,500.0,54.0,2022-01-01,2014-01-01,,,,,,,,,,,,
MRT,Mauritania,low,low,2160.0,32.6,2022-01-01,2014-01-01,,,,,,,,,,,,
MUS,Mauritius,high,high,10760.0,36.8,2022-01-01,2017-01-01,,,,,,,,,,,,
MWI,Malawi,low,high,640.0,38.5,2022-01-01,2019-01-01,,,,,,,,,,,,
MYS,Malaysia,high,high,11780.0,41.2,2022-01-01,2018-01-01,,,,,,,,,,,,
NAM,Namibia,low,high,4880.0,59.1,2022-01-01,2015-01-01,,,,,,,,,,,,
NCL,New Caledonia,high,,13210.0,,2000-01-01,,,,,,,,,,,,,
NER,Niger,low,high,610.0,37.3,2022-01-01,2018-01-01,,,,,,,,,,,,
NGA,Nigeria,low,low,2140.0,35.1,2022-01-01,2018-01-01,,,,,,,,,,,,
NIC,Nicaragua,low,high,2090.0,46.2,2022-01-01,2014-01-01,,,,,,,,,,,,
NLD,Netherlands,high,low,57430.0,26.0,2022-01-01,2020-01-01,,,,,,,,,,,,
NOR,Norway,high,low,95510.0,27.7,2022-01-01,2019-01-01,,,,,,,,,,,,
NPL,Nepal,low,low,1340.0,32.8,2022-01-01,2010-01-01,,,,,,,,,,,,
NRU,Nauru,high,low,17870.0,32.4,2022-01-01,2012-01-01,,,,,,,,,,,,
NZL,New Zealand,high,,48460.0,,2022-01-01,,,,,,,,,,,,,
OMN,Oman,high,,20150.0,,2022-01-01,,,,,,,,,,,,,
PAK,Pakistan,low,low,1580.0,29.6,2022-01-01,2018-01-01,,,,,,,,,,,,
PAN,Panama,high,high,16750.0,50.9,2022-01-01,2021-01-01,,,,,,,,,,,,
PER,Peru,low,high,6770.0,40.2,2022-01-01,2021-01-01,,,,,,,,,,,,
PHL,Philippines,low,high,3950.0,40.7,2022-01-01,2021-01-01,,,,,,,,,,,,
PLW,Palau,high,,12790.0,,2021-01-01,,,,,,,,,,,,,
PNG,Papua New Guinea,low,high,2730.0,41.9,2022-01-01,2009-01-01,,,,,,,,,,,,
POL,Poland,high,low,18350.0,28.8,2022-01-01,2019-01-01,,,,,,,,,,,,
PRI,Puerto Rico,high,,24560.0,,2022-01-01,,,,,,,,,,,,,
PRT,Portugal,high,low,25800.0,34.7,2022-01-01,2020-01-01,,,,,,,,,,,,
PRY,Paraguay,low,high,5920.0,42.9,2022-01-01,2021-01-01,,,,,,,,,,,,
PSE,West Bank and Gaza,low,low,4610.0,33.7,2022-01-01,2016-01-01,,,,,,,,,,,,
PYF,French Polynesia,high,,18560.0,,2000-01-01,,,,,,,,,,,,,
QAT,Qatar,high,high,70500.0,41.1,2022-01-01,2007-01-01,,,,,,,,,,,,
ROU,Romania,high,low,15660.0,34.6,2022-01-01,2020-01-01,,,,,,,,,,,,
RUS,Russian Federation,high,low,12830.0,36.0,2022-01-01,2020-01-01,,,,,,,,,,,,
RWA,Rwanda,low,high,930.0,43.7,2022-01-01,2016-01-01,,,,,,,,,,,,
SAU,Saudi Arabia,high,high,27590.0,45.9,2022-01-01,2013-01-01,,,,,,,,,,,,
SDN,Sudan,low,low,760.0,34.2,2022-01-01,2014-01-01,,,,,,,,,,,,
SEN,Senegal,low,high,1640.0,38.1,2022-01-01,2018-01-01,,,,,,,,,,,,
SGP,Singapore,high,high,67200.0,45.9,2022-01-01,2017-01-01,,,,,,,,,,,,
SLB,Solomon Islands,low,high,2220.0,37.1,2022-01-01,2013-01-01,,,,,,,,,,,,
SLE,Sierra Leone,low,low,510.0,35.7,2022-01-01,2018-01-01,,,,,,,,,,,,
SLV,El Salvador,low,high,4720.0,39.0,2022-01-01,2021-01-01,,,,,,,,,,,,
SMR,San Marino,high,,47120.0,,2021-01-01,,,,,,,,,,,,,
SOM,Somalia,low,,470.0,,2022-01-01,,,,,,,,,,,,,
SRB,Serbia,high,low,9140.0,35.0,2022-01-01,2020-01-01,,,,,,,,,,,,
SSD,South Sudan,low,high,1040.0,44.1,2015-01-01,2016-01-01,,,,,,,,,,,,
STP,Sao Tome and Principe,low,high,2410.0,40.7,2022-01-01,2017-01-01,,,,,,,,,,,,
SUR,Suriname,low,,4880.0,,2022-01-01,,,,,,,,,,,,,
SVK,Slovak Republic,high,low,22060.0,23.2,2022-01-01,2019-01-01,,,,,,,,,,,,
SVN,Slovenia,high,low,30600.0,24.0,2022-01-01,2020-01-01,,,,,,,,,,,,
SWE,Sweden,high,low,62990.0,28.9,2022-01-01,2020-01-01,,,,,,,,,,,,
SWZ,Eswatini,low,high,3800.0,54.6,2022-01-01,2016-01-01,,,,,,,,,,,,
SXM,Sint Maarten (Dutch part),high,,31500.0,,2021-01-01,,,,,,,,,,,,,
SYC,Seychelles,high,low,14340.0,32.1,2022-01-01,2018-01-01,,,,,,,,,,,,
SYR,Syrian Arab Republic,low,high,760.0,37.5,2020-01-01,2003-01-01,,,,,,,,,,,,
TCA,Turks and Caicos Islands,high,,24160.0,,2022-01-01,,,,,,,,,,,,,
TCD,Chad,low,high,690.0,37.5,2022-01-01,2018-01-01,,,,,,,,,,,,
TGO,Togo,low,high,990.0,42.4,2022-01-01,2018-01-01,,,,,,,,,,,,
THA,Thailand,high,low,7230.0,35.1,2022-01-01,2021-01-01,,,,,,,,,,,,
TJK,Tajikistan,low,low,1210.0,34.0,2022-01-01,2015-01-01,,,,,,,,,,,,
TKM,Turkmenistan,low,,7080.0,,2019-01-01,,,,,,,,,,,,,
TLS,Timor-Leste,low,low,1970.0,28.7,2022-01-01,2014-01-01,,,,,,,,,,,,
TON,Tonga,low,low,4930.0,33.5,2021-01-01,2015-01-01,,,,,,,,,,,,
TTO,Trinidad and Tobago,high,,16330.0,,2022-01-01,,,,,,,,,,,,,
TUN,Tunisia,low,low,3840.0,32.8,2022-01-01,2015-01-01,,,,,,,,,,,,
TUR,Turkiye,high,high,10590.0,41.9,2022-01-01,2019-01-01,,,,,,,,,,,,
TUV,Tuvalu,high,high,7210.0,39.1,2022-01-01,2010-01-01,,,,,,,,,,,,
TZA,Tanzania,low,high,1200.0,40.5,2022-01-01,2018-01-01,,,,,,,,,,,,
UGA,Uganda,low,high,930.0,42.7,2022-01-01,2019-01-01,,,,,,,,,,,,
UKR,Ukraine,low,low,4270.0,25.6,2022-01-01,2020-01-01,,,,,,,,,,,,
URY,Uruguay,high,high,18030.0,40.8,2022-01-01,2021-01-01,,,,,,,,,,,,
USA,United States,high,high,76370.0,39.7,2022-01-01,2020-01-01,,,,,,,,,,,,
UZB,Uzbekistan,low,low,2190.0,35.3,2022-01-01,2003-01-01,,,,,,,,,,,,
VCT,St. Vincent and the Grenadines,high,,9110.0,,2022-01-01,,,,,,,,,,,,,
VEN,"Venezuela, RB",high,high,13010.0,39.0,2014-01-01,2011-01-01,,,,,,,,,,,,
VNM,Vietnam,low,high,4010.0,36.8,2022-01-01,2020-01-01,,,,,,,,,,,,
VUT,Vanuatu,low,low,3560.0,32.3,2022-01-01,2019-01-01,,,,,,,,,,,,
WSM,Samoa,low,high,3630.0,38.7,2022-01-01,2013-01-01,,,,,,,,,,,,
XKX,Kosovo,low,low,5590.0,29.0,2022-01-01,2017-01-01,,,,,,,,,,,,
YEM,"Yemen, Rep.",low,high,840.0,36.7,2018-01-01,2014-01-01,,,,,,,,,,,,
ZAF,South Africa,low,high,6780.0,63.0,2022-01-01,2014-01-01,,,,,,,,,,,,
ZMB,Zambia,low,high,1170.0,57.1,2022-01-01,2015-01-01,,,,,,,,,,,,
ZWE,Zimbabwe,low,high,1500.0,50.3,2022-01-01,2019-01-01,,,,,,,,,,,,
